company,filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income
DIPD,670_1391424199.pdf,16,2023,56.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1406887081798.pdf,3,2023,23092215.0,2010521.0,4159192.0,-393325.0,4552517.0,21475019.0
DIPD,670_1406887081798.pdf,5,2023,6.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1414661979678.pdf,3,2023,10852928.310344828,12724440.0,4159192.0,-1105449.0,5264641.0,5264641.0
DIPD,670_1414661979678.pdf,4,2023,10852928.310344828,1099636.0,424476.0,-191159.0,615635.0,615635.0
DIPD,670_1414661979678.pdf,7,2023,6271286.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1423127178756.pdf,3,2023,10852928.310344828,17684100.0,4159192.0,-1625304.0,5784496.0,5784496.0
DIPD,670_1423127178756.pdf,4,2023,2434997.0,1582236.0,424476.0,-289055.0,713531.0,1141816.0
DIPD,670_1423127178756.pdf,7,2023,6.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1431680649237.pdf,3,2023,27738672.0,22948805.0,4789867.0,-2233917.0,7023784.0,7023784.0
DIPD,670_1431680649237.pdf,4,2023,2564913.0,41.0,625167.0,-10.0,625177.0,2564882.0
DIPD,670_1431680649237.pdf,7,2023,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1438938617806.pdf,3,2023,10852928.310344828,22948805.0,4789867.0,-2233917.0,7023784.0,7023784.0
DIPD,670_1438938617806.pdf,5,2023,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1446197797799.pdf,3,2023,27738672.0,22948805.0,4789867.0,-2233917.0,7023784.0,7023784.0
DIPD,670_1446197797799.pdf,4,2023,2564913.0,1939746.0,625167.0,-369523.0,994690.0,994690.0
DIPD,670_1446197797799.pdf,7,2023,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1454490976353.pdf,3,2023,10852928.310344828,22948805.0,4789867.0,-2233917.0,7023784.0,7023784.0
DIPD,670_1454490976353.pdf,4,2023,2564913.0,1939746.0,625167.0,-369523.0,994690.0,994690.0
DIPD,670_1454490976353.pdf,7,2023,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1463476540686.pdf,3,2023,21931303.0,18452976.0,3478327.0,-2247927.0,5726254.0,5726254.0
DIPD,670_1463476540686.pdf,4,2023,1685401.0,1242316.0,443085.0,-410935.0,854020.0,854020.0
DIPD,670_1463476540686.pdf,7,2023,6888098.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1470654908834.pdf,4,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,433528.0
DIPD,670_1470654908834.pdf,5,2023,6846945.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1477905203603.pdf,3,2023,21931303.0,18452976.0,3478327.0,-2269748.0,5748075.0,433528.0
DIPD,670_1477905203603.pdf,4,2023,1685401.0,1242316.0,443085.0,-429976.0,873061.0,138624.0
DIPD,670_1477905203603.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,433528.0
DIPD,670_1477905203603.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,138624.0
DIPD,670_1477905203603.pdf,7,2023,6846945.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1477905203603.pdf,8,2016,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,154138.0
DIPD,670_1485853545729.pdf,3,2023,21931303.0,18452976.0,3478327.0,-2269748.0,5748075.0,433528.0
DIPD,670_1485853545729.pdf,4,2023,1685401.0,1242316.0,443085.0,-429976.0,873061.0,138624.0
DIPD,670_1485853545729.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,433528.0
DIPD,670_1485853545729.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,138624.0
DIPD,670_1485853545729.pdf,7,2023,6846945.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1485853545729.pdf,8,2016,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,75268.0
DIPD,670_1495013507284.pdf,3,2023,24334423.0,20345895.0,3988528.0,-2279432.0,6267960.0,6267960.0
DIPD,670_1495013507284.pdf,4,2023,1792509.0,1381449.0,411060.0,-404625.0,815685.0,815685.0
DIPD,670_1495013507284.pdf,7,2023,8.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1501578658549.pdf,4,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,917734.0
DIPD,670_1501578658549.pdf,5,2023,8044601.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1509618170616.pdf,3,2023,24334423.0,20345895.0,3988528.0,-2279432.0,6267960.0,917734.0
DIPD,670_1509618170616.pdf,4,2023,1792509.0,1381449.0,411060.0,-404625.0,815685.0,356931.0
DIPD,670_1509618170616.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,917734.0
DIPD,670_1509618170616.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,356931.0
DIPD,670_1509618170616.pdf,7,2023,8044601.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1509618170616.pdf,8,2017,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,-21493.0
DIPD,670_1517303988584.pdf,3,2023,10852928.310344828,20345895.0,3988528.0,-2279432.0,6267960.0,917734.0
DIPD,670_1517303988584.pdf,4,2023,10852928.310344828,1381449.0,411060.0,-404625.0,815685.0,356931.0
DIPD,670_1517303988584.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,917734.0
DIPD,670_1517303988584.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,356931.0
DIPD,670_1517303988584.pdf,7,2023,8044601.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1517303988584.pdf,8,2017,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,85251.0
DIPD,670_1526549280300.pdf,3,2023,28484874.0,24024671.0,4460203.0,-2389297.0,6849500.0,800850.0
DIPD,670_1526549280300.pdf,4,2023,2266036.0,1836512.0,429524.0,-452036.0,881560.0,163332.0
DIPD,670_1526549280300.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0
DIPD,670_1526549280300.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,163332.0
DIPD,670_1526549280300.pdf,7,2023,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1533635380826.pdf,4,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0
DIPD,670_1533635380826.pdf,5,2023,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1533635380826.pdf,9,2018,15.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1542014090242.pdf,3,2023,28484874.0,24024671.0,4460203.0,-2389297.0,6849500.0,800850.0
DIPD,670_1542014090242.pdf,4,2023,2266036.0,1836512.0,429524.0,-452036.0,881560.0,163332.0
DIPD,670_1542014090242.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0
DIPD,670_1542014090242.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,163332.0
DIPD,670_1542014090242.pdf,7,2023,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1542014090242.pdf,8,2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1.0
DIPD,670_1542014090242.pdf,11,2018,15.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1548840654892.pdf,3,2023,28484874.0,24024671.0,4460203.0,-2389297.0,6849500.0,800850.0
DIPD,670_1548840654892.pdf,4,2023,10852928.310344828,1836512.0,429524.0,-452036.0,881560.0,163332.0
DIPD,670_1548840654892.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,800850.0
DIPD,670_1548840654892.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,163332.0
DIPD,670_1548840654892.pdf,7,2023,8693473.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1548840654892.pdf,8,2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,2.0
DIPD,670_1548840654892.pdf,11,2018,15.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1557999652763.pdf,3,2023,10852928.310344828,25143301.0,4946017.0,-2805922.0,7751939.0,1223826.0
DIPD,670_1557999652763.pdf,4,2023,10852928.310344828,3025141.0,873224.0,-621200.0,1494424.0,327767.0
DIPD,670_1557999652763.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0
DIPD,670_1557999652763.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,327767.0
DIPD,670_1557999652763.pdf,7,2023,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1564736854575.pdf,4,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0
DIPD,670_1564736854575.pdf,5,2023,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1572858262573.pdf,3,2023,10852928.310344828,25143301.0,4946017.0,-2805922.0,7751939.0,1223826.0
DIPD,670_1572858262573.pdf,4,2023,10852928.310344828,3025141.0,873224.0,-621200.0,1494424.0,327767.0
DIPD,670_1572858262573.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0
DIPD,670_1572858262573.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,327767.0
DIPD,670_1572858262573.pdf,7,2023,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1572858262573.pdf,8,2019,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3.0
DIPD,670_1581501936280.pdf,3,2023,10852928.310344828,25143301.0,4946017.0,-2805922.0,7751939.0,1223826.0
DIPD,670_1581501936280.pdf,4,2023,10852928.310344828,3025141.0,873224.0,-621200.0,1494424.0,327767.0
DIPD,670_1581501936280.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1223826.0
DIPD,670_1581501936280.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,327767.0
DIPD,670_1581501936280.pdf,7,2023,9249276.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1581501936280.pdf,8,2019,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,7.0
DIPD,670_1591958655296.pdf,3,2023,10852928.310344828,25858623.0,4704359.0,-2839359.0,7543718.0,850293.0
DIPD,670_1591958655296.pdf,4,2023,10852928.310344828,3054301.0,1003141.0,-562342.0,1565483.0,559224.0
DIPD,670_1591958655296.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,850293.0
DIPD,670_1591958655296.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,559224.0
DIPD,670_1591958655296.pdf,7,2023,9953105.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1597224164231.pdf,3,2023,10852928.310344828,25858623.0,4704359.0,-2839358.0,7543717.0,850293.0
DIPD,670_1597224164231.pdf,4,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,850293.0
DIPD,670_1597224164231.pdf,5,2023,9953105.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1604482484847.pdf,3,2023,10852928.310344828,25858623.0,4704359.0,-2839358.0,7543717.0,850293.0
DIPD,670_1604482484847.pdf,4,2023,10852928.310344828,3054301.0,1003141.0,-562342.0,1565483.0,559224.0
DIPD,670_1604482484847.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,850293.0
DIPD,670_1604482484847.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,559224.0
DIPD,670_1604482484847.pdf,7,2023,9953105.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1613038103370.pdf,3,2023,10852928.310344828,25858623.0,4704359.0,-2839358.0,7543717.0,850293.0
DIPD,670_1613038103370.pdf,4,2023,10852928.310344828,3054301.0,1003141.0,-562342.0,1565483.0,559224.0
DIPD,670_1613038103370.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,850293.0
DIPD,670_1613038103370.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,5.0
DIPD,670_1613038103370.pdf,7,2023,9953105.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1621330561020.pdf,3,2023,10852928.310344828,25858623.0,11829765.0,-2839358.0,14669123.0,5833327.0
DIPD,670_1621330561020.pdf,4,2023,10852928.310344828,4045930.0,1771216.0,-834264.0,2605480.0,1862902.0
DIPD,670_1621330561020.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,5833327.0
DIPD,670_1621330561020.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1.0
DIPD,670_1621330561020.pdf,7,2023,14462463.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1628759370661.pdf,3,2023,10852928.310344828,34556902.0,11829765.0,-3837952.0,15667717.0,5833327.0
DIPD,670_1628759370661.pdf,4,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,5.0
DIPD,670_1628759370661.pdf,5,2023,14462463.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1636454636565.pdf,3,2023,10852928.310344828,34556902.0,11829765.0,-3837952.0,15667717.0,5833327.0
DIPD,670_1636454636565.pdf,4,2023,10852928.310344828,4045930.0,1771216.0,-834264.0,2605480.0,1862902.0
DIPD,670_1636454636565.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,5833327.0
DIPD,670_1636454636565.pdf,6,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,1862902.0
DIPD,670_1636454636565.pdf,7,2023,14462463.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055
DIPD,670_1644491716959.pdf,3,2023,10852928.310344828,34556902.0,11829765.0,-3837952.0,15667717.0,5833327.0
DIPD,670_1644491716959.pdf,4,2023,10852928.310344828,4045930.0,1771216.0,-834264.0,2605480.0,1862902.0
DIPD,670_1644491716959.pdf,5,2023,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,5833327.0
