company,filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,period_numeric
REXP,771_1730893408597.pdf,5,FY2012,6.0,34.0,-28.0,5.0,-33.0,-33.0,2012
REXP,771_1739185871059.pdf,4,FY2022,1941892.0,4.0,1941888.0,-286275.0,2228163.0,7.0,2022
REXP,771_1739185871059.pdf,5,FY2005,5.0,392030.0,-392025.0,4.0,-392029.0,-392029.0,2005
DIPD,670_1336993801.pdf,3,FY2011,19786485.0,16344798.0,3441687.0,-1568996.0,5010683.0,5010683.0,2011
DIPD,670_1336993801.pdf,4,FY2014,1798644.0,1449966.0,348678.0,-285052.0,633730.0,633730.0,2014
DIPD,670_1343902578685.pdf,3,FY2023,19786485.0,16344798.0,3441687.0,-1568983.0,5010670.0,5010670.0,2023
DIPD,670_1351681183.pdf,3,FY2009,10852928.310344828,16344798.0,3.0,-1568983.0,1568986.0,1568986.0,2009
DIPD,670_1351681183.pdf,4,FY2014,1798644.0,737744.0,348678.0,-285052.0,633730.0,1345952.0,2014
DIPD,670_1360143525.pdf,3,FY2009,19786485.0,16344798.0,3441687.0,-1568983.0,5010670.0,5010670.0,2009
DIPD,670_1360143525.pdf,4,FY2022,10852928.310344828,1449966.0,3.0,-285052.0,285055.0,285055.0,2022
DIPD,670_1375242887055.pdf,5,FY2009,699054.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2009
DIPD,670_1375242887055.pdf,10,FY2012,10852928.310344828,4512723.0,9.0,-423444.0,423453.0,423453.0,2012
DIPD,670_1375242887055.pdf,13,FY2014,52.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2014
DIPD,670_1383043196791.pdf,3,FY2019,10852928.310344828,19079931.0,4577812.0,-1777854.0,6355666.0,6355666.0,2019
DIPD,670_1383043196791.pdf,4,FY2007,2.0,1524208.0,494502.0,17.0,494485.0,-1524223.0,2007
DIPD,670_1383043196791.pdf,7,FY2013,699054.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2013
DIPD,670_1383043196791.pdf,12,FY2012,1.0,19563.0,2177485.0,-863119.0,3040604.0,843557.0,2012
DIPD,670_1383043196791.pdf,13,FY2012,1008076.0,1288.0,270332.0,-156201.0,426533.0,1162989.0,2012
DIPD,670_1383043196791.pdf,16,FY2008,54.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2008
DIPD,670_1391424199.pdf,3,FY2007,10852928.310344828,19079931.0,4577812.0,-1777854.0,6355666.0,6355666.0,2007
DIPD,670_1391424199.pdf,4,FY2019,10852928.310344828,26.0,494502.0,30.0,494472.0,494472.0,2019
DIPD,670_1391424199.pdf,7,FY2012,699054.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2012
DIPD,670_1391424199.pdf,13,FY2012,1507110.0,1886.0,393411.0,-234694.0,628105.0,1739918.0,2012
DIPD,670_1391424199.pdf,16,FY2020,56.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2020
DIPD,670_1406887081798.pdf,5,FY2007,6.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2007
DIPD,670_1414661979678.pdf,3,FY2023,10852928.310344828,12724440.0,4159192.0,-1105449.0,5264641.0,5264641.0,2023
DIPD,670_1414661979678.pdf,4,FY2016,10852928.310344828,1099636.0,424476.0,-191159.0,615635.0,615635.0,2016
DIPD,670_1414661979678.pdf,7,FY2013,6271286.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2013
DIPD,670_1423127178756.pdf,3,FY2015,10852928.310344828,17684100.0,4159192.0,-1625304.0,5784496.0,5784496.0,2015
DIPD,670_1423127178756.pdf,4,FY2016,2434997.0,1582236.0,424476.0,-289055.0,713531.0,1141816.0,2016
DIPD,670_1423127178756.pdf,7,FY2015,6.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2015
DIPD,670_1431680649237.pdf,4,FY2005,2564913.0,41.0,625167.0,-10.0,625177.0,2564882.0,2005
DIPD,670_1431680649237.pdf,7,FY2008,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2008
DIPD,670_1438938617806.pdf,3,FY2017,10852928.310344828,22948805.0,4789867.0,-2233917.0,7023784.0,7023784.0,2017
DIPD,670_1438938617806.pdf,5,FY2010,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2010
DIPD,670_1446197797799.pdf,4,FY2011,2564913.0,1939746.0,625167.0,-369523.0,994690.0,994690.0,2011
DIPD,670_1446197797799.pdf,7,FY2006,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2006
DIPD,670_1454490976353.pdf,3,FY2022,10852928.310344828,22948805.0,4789867.0,-2233917.0,7023784.0,7023784.0,2022
DIPD,670_1454490976353.pdf,4,FY2016,2564913.0,1939746.0,625167.0,-369523.0,994690.0,994690.0,2016
DIPD,670_1454490976353.pdf,7,FY2013,7000544.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2013
DIPD,670_1463476540686.pdf,3,FY2015,21931303.0,18452976.0,3478327.0,-2247927.0,5726254.0,5726254.0,2015
DIPD,670_1463476540686.pdf,4,FY2008,1685401.0,1242316.0,443085.0,-410935.0,854020.0,854020.0,2008
DIPD,670_1463476540686.pdf,7,FY2014,6888098.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2014
DIPD,670_1470654908834.pdf,4,FY2017,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,433528.0,2017
DIPD,670_1470654908834.pdf,5,FY2006,6846945.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2006
DIPD,670_1477905203603.pdf,3,FY2013,21931303.0,18452976.0,3478327.0,-2269748.0,5748075.0,433528.0,2013
DIPD,670_1477905203603.pdf,4,FY2012,1685401.0,1242316.0,443085.0,-429976.0,873061.0,138624.0,2012
DIPD,670_1477905203603.pdf,5,FY2016,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,433528.0,2016
DIPD,670_1477905203603.pdf,6,FY2007,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,138624.0,2007
DIPD,670_1477905203603.pdf,7,FY2022,6846945.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2022
DIPD,670_1477905203603.pdf,8,FY2016,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,154138.0,2016
DIPD,670_1485853545729.pdf,3,FY2022,21931303.0,18452976.0,3478327.0,-2269748.0,5748075.0,433528.0,2022
DIPD,670_1485853545729.pdf,4,FY2011,1685401.0,1242316.0,443085.0,-429976.0,873061.0,138624.0,2011
DIPD,670_1485853545729.pdf,5,FY2008,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,433528.0,2008
DIPD,670_1485853545729.pdf,6,FY2012,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,138624.0,2012
DIPD,670_1485853545729.pdf,7,FY2011,6846945.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2011
DIPD,670_1485853545729.pdf,8,FY2016,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,75268.0,2016
DIPD,670_1495013507284.pdf,3,FY2011,24334423.0,20345895.0,3988528.0,-2279432.0,6267960.0,6267960.0,2011
DIPD,670_1495013507284.pdf,4,FY2014,1792509.0,1381449.0,411060.0,-404625.0,815685.0,815685.0,2014
DIPD,670_1495013507284.pdf,7,FY2014,8.0,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,3394884.979452055,2014
DIPD,670_1501578658549.pdf,4,FY2018,10852928.310344828,17017225.472527474,4171203.813186813,-2192637.4,6191999.555555556,917734.0,2018
