filename,page,period,Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income
771_1644836215124.pdf,4,2021,1778416.0,23.0,1778393.0,-135254.0,1913647.0,1913647.0
771_1644836215124.pdf,5,2021,6.0,193747.0,-193741.0,-10907.0,-182834.0,-182834.0
771_1644836215124.pdf,6,,,,,,,
771_1644836215124.pdf,7,2020,,,,,,
771_1653995188360.pdf,4,2022,1604137.0,1037979.0,566158.0,-313782.0,879940.0,879940.0
771_1653995188360.pdf,5,2022,7.0,392511.0,-392504.0,-1660.0,-390844.0,-390844.0
771_1653995188360.pdf,6,,,,,,,
771_1653995188360.pdf,7,2020,,,,,,
771_1660564139519.pdf,4,2022,2767931.0,955738.0,1812193.0,-473936.0,2286129.0,2286129.0
771_1660564139519.pdf,5,2022,9.0,6.0,3.0,-122800.0,122803.0,122803.0
771_1660564139519.pdf,6,,,,,,,
771_1660564139519.pdf,7,2021,,,,,,
771_1668418805462.pdf,4,2022,2661097.0,71.0,2661026.0,42.0,2660984.0,2660984.0
771_1668418805462.pdf,5,2022,1.0,8.0,-7.0,302.0,-309.0,-309.0
771_1668418805462.pdf,6,,,,,,,
771_1668418805462.pdf,7,2021,,,,,,
771_1676454189961.pdf,4,2022,1909048.0,1487153.0,421895.0,-308958.0,730853.0,730853.0
771_1676454189961.pdf,5,2022,522708.0,372274.0,150434.0,9.0,150425.0,150425.0
771_1676454189961.pdf,7,,,,,,,
771_1676454189961.pdf,8,2021,,,,,,
771_1685527094110.pdf,4,2023,1.0,1234766.0,-1234765.0,-3.0,-1234762.0,-1234762.0
771_1685527094110.pdf,5,2023,516552.0,36.0,516516.0,5.0,516511.0,516511.0
771_1685527094110.pdf,6,,,,,,,
771_1685527094110.pdf,7,2021,,,,,,
771_1692091050740.pdf,4,,1474458.0,1735091.0,-260633.0,-66.0,-260567.0,991673.0
771_1692091050740.pdf,5,,520111.0,2006241.0,-1486130.0,4.0,-1486134.0,-1486134.0
771_1692091050740.pdf,6,,,,,,,
771_1692091050740.pdf,7,2022,,,,,,
771_1700049312897.pdf,4,2023,2069984.0,16.0,4.0,-202073.0,202077.0,1.0
771_1700049312897.pdf,5,2023,4.0,754591.0,-754587.0,5.0,-754592.0,-754592.0
771_1700049312897.pdf,6,,,,,,,
771_1700049312897.pdf,7,2022,,,,,,
771_1707996295121.pdf,4,2023,2089873.0,1.0,2089872.0,-239643.0,2329515.0,7.0
771_1707996295121.pdf,5,2023,5.0,413390.0,-413385.0,4.0,-413389.0,-413389.0
771_1707996295121.pdf,6,,,,,,,
771_1707996295121.pdf,7,2022,,,,,,
771_1717164700029.pdf,4,2024,1486128.0,,,,,-247409.0
771_1717164700029.pdf,5,2024,4.0,3.0,1.0,5.0,-4.0,-4.0
771_1717164700029.pdf,6,,,,,,,
771_1717164700029.pdf,7,2022,,,,,,
771_1722423990922.pdf,4,2024,1682540.0,13.0,1682527.0,-162533.0,1845060.0,1845060.0
771_1722423990922.pdf,5,2024,6.0,416773.0,-416767.0,4.0,-416771.0,-416771.0
771_1722423990922.pdf,6,,,,,,,
771_1722423990922.pdf,7,2023,,,,,,
771_1730893408597.pdf,4,2024,2139733.0,3.0,2139730.0,74.0,2139656.0,1.0
771_1730893408597.pdf,5,2024,6.0,34.0,-28.0,5.0,-33.0,-33.0
771_1730893408597.pdf,6,,,,,,,
771_1730893408597.pdf,7,2023,,,,,,
771_1739185871059.pdf,4,2024,1941892.0,4.0,1941888.0,-286275.0,2228163.0,7.0
771_1739185871059.pdf,5,2024,5.0,392030.0,-392025.0,4.0,-392029.0,-392029.0
771_1739185871059.pdf,6,,,,,,,
771_1739185871059.pdf,7,2023,,,,,,
